id,document_identifier,wbm_url,content,created
EN2482782,https://www.theregister.co.uk/2019/03/09/google_fiber_motorcyclist/,http://web.archive.org/web/20190309082304id_/https://www.theregister.co.uk/2019/03/09/google_fiber_motorcyclist/,,2019-03-09
EN2646296,http://www.wjcw.com/news/angelina-jolie-is-time-magazines-newest-contributing-editor/,http://web.archive.org/web/20190620225528id_/http://www.wjcw.com/news/angelina-jolie-is-time-magazines-newest-contributing-editor/,,2019-06-20
EN2429035,https://www.firstpost.com/world/exclusive-u-s-to-begin-returning-asylum-seekers-to-mexico-on-friday-official-5958031.html,http://web.archive.org/web/20190419225857id_/https://www.firstpost.com/world/exclusive-u-s-to-begin-returning-asylum-seekers-to-mexico-on-friday-official-5958031.html,,2019-01-25
EN2404438,https://www.esi-africa.com/world-bank-group-president-kim-to-join-private-sector/,http://web.archive.org/web/20190108102417id_/https://www.esi-africa.com/world-bank-group-president-kim-to-join-private-sector/,,2019-01-08
EN2612939,https://www.kyivpost.com/ukraine-politics/unian-ukraine-may-slap-new-sanctions-for-illegal-archaeological-excavations-in-russia-occupied-crimea.html,,"We use cookies and other tracking technologies to improve your browsing experience on our site, show personalized content and targeted ads, analyze site traffic, and understand where our audience is coming from. To find out more or to opt-out, please read our Cookie Policy . In addition, please read our Privacy Policy . By choosing I Accept, you consent to our use of cookies and other tracking technologies.",2019-05-31
EN2567881,https://www.newdelhitimes.com/100-million-in-path-of-major-cyclone-headed-for-india/,,"More than 100 million people are in the path of Cyclone Fani as it slowly moves toward the eastern Indian state of Odisha.

Indian authorities have evacuated more than 1.2 million people from the coastal, low-lying areas and plan to move thousands more before the cyclone makes landfall, likely Friday afternoon.

“We are maximizing efforts at all levels for evacuation,” Odisha’s Special Relief Commissioner Bishnupada Sethi said.

As of early Thursday, the storm was churning in the Bay of Bengal. It is expected to make landfall with winds of 170-180 kilometers per hour and gusts of up to 200 kph, according to the latest forecast.

Fani has intensified significantly over the past couple of days, prompting the India Meteorological Department to refer to it as an “extremely severe cyclonic storm.”

Cyclone tracker Tropical Storm Risk rated Fani as a category 4 storm, a notch below the worst level. Red warnings, the highest level, have been issued for extremely heavy rainfall and dangerous sea conditions Friday in Odisha and Saturday in West Bengal.

Officials also are asking tourists to leave the coastal city of Puri, home of the 13th-century Konarak Temple, a UNESCO World Heritage Site, and the Jagganath Temple, one of the most holy in Hinduism.

Two major eastern ports, Paradip and Visakhapatnam, have been ordered to move ships out to sea to avoid damage. Flights have been canceled from midnight Thursday at the airport in Odisha’s capital, Bhubaneshwar, and for Kolkata Airport from 9:30 p.m. Friday, according to India’s Ministry of Civil Aviation.

Communities away from the coast also are on alert for heavy flooding. Rainfall of 20 to 25 centimeters is expected over a widespread area.

Eastern India is no stranger to deadly storms. In 1999, a supercyclone hit Odisha, killing more than 10,000 people. Four years later, the toll was significantly lower when Cyclone Phailin hit the state.

Because of improved forecasting and evacuation, more than 1.3 million people were moved out of harm’s way, resulting in a few dozen deaths, rather than thousands.

On Tuesday, Fani became the strongest storm in the north Indian Ocean this early in the season, passing Cyclone Nargis, which killed more than 100,000 people in Myanmar in 2008.

The north Indian Ocean cyclone season doesn’t have a defined start and end like the Atlantic hurricane season. Instead, it has two main periods of activity: late April to early June, and October to November.

Fani is the first cyclone of the 2019 season.

Credit : Voice of America (VOA)

Like this: Like Loading...",2019-05-03
EN2447695,https://www.bordertelegraph.com/news/national_news/17425215.man-detained-after-severe-fire-breaks-out-at-mental-health-centre/,http://web.archive.org/web/20190212075240id_/https://www.bordertelegraph.com/news/national_news/17425215.man-detained-after-severe-fire-breaks-out-at-mental-health-centre/,,2019-02-12
EN2853639,https://indianexpress.com/article/cities/delhi/delhi-age-bar-lifted-refugees-3-children-back-in-school-6075008/,,"Deputy CM Manish Sisodia relaxed the upper age limit for admission on “humanitarian grounds”. Deputy CM Manish Sisodia relaxed the upper age limit for admission on “humanitarian grounds”.

Three Pakistani refugee siblings, who were denied admission to a Delhi government school for being over the age limit, have been allowed to attend classes after Deputy CM Manish Sisodia relaxed the upper age limit for admission on “humanitarian grounds”.

Highlighting the note from Sisodia to the education department in the High Court Thursday, Delhi government’s standing counsel Ramesh Singh told Justice Rajiv Shakdher that the children were admitted to class IX at Government Co-ed Senior Secondary School, Bhatti Mines, on October 16. Singh said the decision is applicable only in this case.

📣 The Indian Express is now on Telegram. Click here to join our channel (@indianexpress) and stay updated with the latest headlines

For all the latest Delhi News, download Indian Express App.",2019-10-18
EN2712242,https://www.kzyx.org/?page=2288,,"July 29, 2029 — Last week, the Board of Supervisors voted 4-1, with Supervisor Ted Williams dissenting, to approve an $18,976,733 contract for Redwood Quality Management Company (RQMC), the contractor that provides specialty mental health care to Medi-Cal beneficiaries and the indigent on behalf of the county. RQMC started contracting with the county to provide mental healthcare to children in 2013. In July of 2016, the company took over adult mental healthcare from Ortner Management Group, a contractor based in Yuba City.",2019-07-30
EN2401372,https://www.wuft.org/nation-world/2019/01/04/devastating-wildfires-force-californias-largest-utility-to-plan-sale-of-gas-assets/,http://web.archive.org/web/20190105223609id_/https://www.wuft.org/nation-world/2019/01/04/devastating-wildfires-force-californias-largest-utility-to-plan-sale-of-gas-assets/,,2019-01-04
EN2435658,https://www.breitbart.com/national-security/2019/01/28/turkeys-erdogan-reveals-ethnic-change-plan-kurdish-syria/,http://web.archive.org/web/20190130234302id_/https://www.breitbart.com/national-security/2019/01/28/turkeys-erdogan-reveals-ethnic-change-plan-kurdish-syria/,,2019-01-30
EN2857617,https://www.salon.com/2019/10/20/heres-a-2020-endorsement-andrew-yang-but-not-for-president/,http://web.archive.org/web/20191020235645id_/https://www.salon.com/2019/10/20/heres-a-2020-endorsement-andrew-yang-but-not-for-president/,,2019-10-20
EN2710964,https://www.sfgate.com/bayarea/article/Mayors-in-Alameda-County-want-shuttered-jail-14189091.php?t=646dc18034,http://web.archive.org/web/20190729232031id_/https://www.sfgate.com/bayarea/article/Mayors-in-Alameda-County-want-shuttered-jail-14189091.php?t=646dc18034,,2019-07-29
EN2856619,https://www.denbighshirefreepress.co.uk/news/national-news/17980720.turkey-bids-resettle-two-million-syrian-refugees-border-safe-zone/,http://web.archive.org/web/20191021195903id_/https://www.denbighshirefreepress.co.uk/news/national-news/17980720.turkey-bids-resettle-two-million-syrian-refugees-border-safe-zone/,,2019-10-19
EN2913212,https://thenewdaily.com.au/news/national/2019/11/28/jacqui-lambie-medevac-deal/,http://web.archive.org/web/20191128134034id_/https://thenewdaily.com.au/news/national/2019/11/28/jacqui-lambie-medevac-deal/,,2019-11-28
EN2729367,https://www.business-standard.com/article/pti-stories/rains-subside-in-goa-restoration-of-flood-hit-parts-begins-119080900979_1.html,http://web.archive.org/web/20190809131642id_/https://www.business-standard.com/article/pti-stories/rains-subside-in-goa-restoration-of-flood-hit-parts-begins-119080900979_1.html,,2019-08-09
EN2495871,https://abc7ny.com/mother-drops-baby-from-balcony-to-escape-li-apartment-building-fire-/5200468/,,"RONKONKOMA, Long Island (WABC) -- A mother tossed her baby from a balcony to escape a fire early Sunday at a Long Island apartment complex.The fire broke out at about 12:50 a.m. at Colony Park Apartments on Peconic Street in Ronkonkoma.When police arrived, they found the building fully engulfed.At one point, police say the mother dropped her infant from a second-floor balcony into the arms of a bystander below, before jumping to the ground herself.The woman and the infant were taken to Stony Brook University Hospital with minor injuries.One man was also hospitalized with minor injuries.Firefighters say residents in five units have been displaced. The cause of the fire is under investigation.----------",2019-03-17
EN2550552,https://www.stroudnewsandjournal.co.uk/news/national/17587890.uk-will-stand-up-for-religious-freedom-theresa-may-vows-in-easter-message/,http://web.archive.org/web/20190421044544id_/https://www.stroudnewsandjournal.co.uk/news/national/17587890.uk-will-stand-up-for-religious-freedom-theresa-may-vows-in-easter-message/,,2019-04-21
EN2625824,https://www.kenw.org/post/after-4-months-venezuelas-border-colombia-reopens,http://web.archive.org/web/20190609201752id_/https://www.kenw.org/post/after-4-months-venezuelas-border-colombia-reopens,,2019-06-09
EN2880095,https://www.asianimage.co.uk/news/18003320.grenfell-families-urge-prosecutions-inadequate-fire-brigade-preparation/,http://web.archive.org/web/20191105061523id_/https://www.asianimage.co.uk/news/18003320.grenfell-families-urge-prosecutions-inadequate-fire-brigade-preparation/,,2019-10-30
EN2768612,https://www.businessinsider.in/the-us-military-is-scrambling-to-ready-its-bases-and-get-planes-and-ships-out-of-the-way-of-hurricane-dorian/articleshow/70947399.cms,http://web.archive.org/web/20190903004234id_/https://www.businessinsider.in/the-us-military-is-scrambling-to-ready-its-bases-and-get-planes-and-ships-out-of-the-way-of-hurricane-dorian/articleshow/70947399.cms,,2019-09-02
EN2427902,https://www.freemalaysiatoday.com/category/world/2019/01/24/aid-curbs-in-myanmars-rakhine-impact-at-least-50000-people/,http://web.archive.org/web/20190307232514id_/https://www.freemalaysiatoday.com/category/world/2019/01/24/aid-curbs-in-myanmars-rakhine-impact-at-least-50000-people/,,2019-01-24
EN2727038,https://finance.yahoo.com/news/germanys-workers-feel-impact-trade-040010767.html,http://web.archive.org/web/20190808094746id_/https://finance.yahoo.com/news/germanys-workers-feel-impact-trade-040010767.html,,2019-08-08
EN2581703,https://www.whqr.org/post/severe-weather-and-storms-pummel-southern-states,http://web.archive.org/web/20190510100916id_/https://www.whqr.org/post/severe-weather-and-storms-pummel-southern-states,,2019-05-10
EN2543415,https://www.sfgate.com/news/article/Notre-Dame-s-stability-assessed-after-fire-rips-13770649.php,,"Macron presides over rare unity as France grieves Notre Dame Flames and smoke rise from a fire at Notre Dame Cathedral in Paris on April 15, 2019. Flames and smoke rise from a fire at Notre Dame Cathedral in Paris on April 15, 2019. Photo: Bloomberg Photo By Martin Barzilai. Photo: Bloomberg Photo By Martin Barzilai. Image 1 of / 8 Caption Close Macron presides over rare unity as France grieves Notre Dame 1 / 8 Back to Gallery French citizens joined global leaders to rally behind Emmanuel Macron in the aftermath of a fire that ravaged the iconic Notre-Dame Cathedral in Paris, giving the French President an opportunity to quell the political volatility that's embroiled his government. Macron vowed on Monday night to rebuild the 850-year-old Gothic monument, an issue that's united the French population across the political spectrum, with national parties suspending their European election campaigns and leaders from around the globe lending their support. The fire prompted the cancellation of a planned speech by the 41-year-old leader meant to allay the concerns of citizens angered over economic disparities and by a lack of trust in the political system. The address was an effort to move past months of protests by the Yellow Vests movement and bolster Macron's popularity, which had taken a battering from a public perception that he's out of touch and that his policies favor the rich. ""This is an opportunity for Macron to reach out to the opposition to create unity in a fractured, divided nation,"" said Bruno Cautres, a politics professor at Sciences Po institute, who cycles past the landmark every morning. ""He can't be seen as using this moment of widespread grief, but at the same time, people will expect all politicians to start working together, first for Notre Dame and hopefully, beyond Notre Dame."" The fire raged for about 12 hours, taking with it about two-thirds of the roof and its spire, and at one point late Monday night even the stone structure of the monument was at risk. The cause of the fire is still unknown but Paris prosecutor Remy Heitz said nothing indicates it was started deliberately. Paris prosecutors opened a non-criminal investigation, a common step in such a major incident. The entire structure was a half-hour away from collapsing before firemen prevented the blaze from engulfing the bell towers, according to Deputy Interior Minister Laurent Nunez. Culture Minister Franck Riester said major treasures such as the ""Crown of Thorns"" and Louis IX's tunic were removed to City Hall, while other relics were taken to the Louvre. The altars weren't burned but will be removed to be treated for smoke damage, while the rose windows appeared to have escaped major damage, he said. The initial budget to restore the cathedral before the fire was about 150 million euros ($170 million), and may need to be increased to about 450 million euros now, according to Michel Picaud, president of the Friends of Notre-Dame de Paris. Money has already started to arrive for a rebuilding that will take years if not decades. The Paris region has unblocked 10 million euros ($11.5 million) in emergency funding. The Pinault family of Gucci owner Kering SA announced it was giving 100 million euros and the Arnault family that controls LVMH said it pledged 200 million euros. In his canceled speech, Macron had been expected to announce middle class income tax cuts, indexation of small pensions and the abolition of the elite ENA school for civil servants, in an effort to assuage grassroots discontent, French media reported. The fire comes a a little over a month before France is due to elect its members of the European Parliament. According to Ifop's daily rolling poll, Macron's La Republique en Marche! party and Marine Le Pen's euro-skeptic National Rally are tied at 21.5 percent, with the Republicans in third place at 13 percent. In the latest Ipsos poll, Macron's approval rating fell 1 point to 27 percent. In the week leading up to Monday, political leaders from opposition parties were on television saying Macron's measures wouldn't be up to the task, even without knowing what he was due to announce. Hours later they were all expressing their sadness at France's incalculable artistic loss. ""For two years, all we've had are tortured words that go around in circles, and when we get to the finish line there's nothing there,"" Laurent Wauquiez, head of The Republicans, the largest opposition party in Parliament, said Sunday on BFM TV. Monday night he wrote on Twitter that ""it's a whole part of our history, of all of us, that burns tonight."" He canceled an EU election rally he was due to attend in the southern city of Nimes Tuesday night. Jean-Luc Melenchon, leader of the far-left France Unbowed party and one of Macron's most scathing critics, said ""This building is like a member of our family. For at least 24 hours I can't feel and act like a politician."" Macron will have to walk a fine line, and tragic incidents throughout Europe have proven to be pitfalls for leaders who miscalculated the political severity of the events. British Prime Minister Theresa May had to admit that her initial handling of the 2017 Grenfell Tower fire, which killed at least 80 people in a London apartment block, was ""not good enough"" because she hadn't met victims on her first visit. Francois Hollande, who was president in 2015 when a terrorist rampage left 12 dead in France, saw his flagging popularity revive after the incident. Hollande oversaw a manhunt and brought international statesmen and millions of voters together in a show of political force, which earned him a temporary boost in his approval ratings. Leaders from around the world expressed their solidarity with Paris, including Iranian Foreign Minister Mohammad Zarif and Dutch Prime Minister Mark Rutte. Macron will speak later Tuesday with Pope Francis, after having talked earlier with U.S. President Donald Trump, German Chancellor Angela Merkel and United Nations Secretary General Antonio Guterres. Italian Deputy Prime Minister Matteo Salvini, whose populist government has been at odds with Macron, reached across the political divide. ""A thought and a hug for the people of Paris,"" Salvini wrote on Twitter. ""From Italy, all of our friendship and all the help we can give.""",2019-04-16
EN2735178,https://www.countytimes.co.uk/news/national-news/17830774.dozens-killed-burma-landslide/,,"As a subscriber, you are shown 80% less display advertising when reading our articles.

Those ads you do see are predominantly from local businesses promoting local services.

These adverts enable local businesses to get in front of their target audience – the local community.

It is important that we continue to promote these adverts as our local businesses need as much support as possible during these challenging times.

Close",2019-08-12
