id,published,labeler,taskID,value,offset_from,offset_to,content
EN2845164,"(2019, 10, 13, 'SUN')",Fabio Poletto,FACT,RELIEF_CAMP,3854.0,3990.0,"a Kurdish-run displaced-persons camp in Ein Eissa, some 35 kilometers (20 miles) south of the border, that is home to some 12,000 people"
EN2845164,"(2019, 10, 13, 'SUN')",Fabio Poletto,CAUSE,CONFLICT,1267.0,1280.0,The offensive
EN2845164,"(2019, 10, 13, 'SUN')",Fabio Poletto,QUANTITY,PERSON,1295.0,1318.0,"at least 130,000 people"
EN2845164,"(2019, 10, 13, 'SUN')",Fabio Poletto,QUANTITY,PERSON,3972.0,3990.0,"some 12,000 people"
EN2845164,"(2019, 10, 13, 'SUN')",Fabio Poletto,LOCATION_ORIGIN,STATE_DISTRICT_REGION_O_0,793.0,807.0,northern Syria
EN2845164,"(2019, 10, 13, 'SUN')",Fabio Poletto,DATE,START_DATE_FLOW_0,1073.0,1096.0,Over the past five days
EN2845164,"(2019, 10, 13, 'SUN')",Fabio Poletto,DATE,END_DATE_FLOW_0,1073.0,1096.0,Over the past five days
EN2496868,"(2019, 3, 17, 'SUN')",Clementine Andre,TYPE,NEWS,,,
EN2496868,"(2019, 3, 17, 'SUN')",Clementine Andre,FACT,SHELTERED,1212.0,1246.0,660 people are staying in shelters
EN2496868,"(2019, 3, 17, 'SUN')",Clementine Andre,CAUSE,DISASTER,81.0,101.0,Flooding in Nebraska
EN2496868,"(2019, 3, 17, 'SUN')",Clementine Andre,QUANTITY,PERSON,1211.0,1222.0, 660 people
EN2496868,"(2019, 3, 17, 'SUN')",Clementine Andre,LOCATION_ORIGIN,STATE_DISTRICT_REGION_O_0,93.0,101.0,Nebraska
EN2496868,"(2019, 3, 17, 'SUN')",Clementine Andre,LOCATION_ORIGIN,COUNTY_CITY_VILLAGE_TOWN_HAMLET_O_0,0.0,9.0,ST. LOUIS
EN2496868,"(2019, 3, 17, 'SUN')",Fabio Poletto,TYPE,NEWS,,,
EN2496868,"(2019, 3, 17, 'SUN')",Fabio Poletto,FACT,DESTROYED_HOUSING,1163.0,1246.0,Hundreds of homes are damaged and the state says 660 people are staying in shelters
EN2496868,"(2019, 3, 17, 'SUN')",Fabio Poletto,FACT,SHELTERED,1163.0,1246.0,Hundreds of homes are damaged and the state says 660 people are staying in shelters
EN2496868,"(2019, 3, 17, 'SUN')",Fabio Poletto,FACT,EVACUATED,1877.0,1978.0,"Officials say residents of Green Bay, Wisconsin, who evacuated their homes due to flooding can return"
EN2496868,"(2019, 3, 17, 'SUN')",Fabio Poletto,FACT,RETURN,1877.0,1978.0,"Officials say residents of Green Bay, Wisconsin, who evacuated their homes due to flooding can return"
EN2496868,"(2019, 3, 17, 'SUN')",Fabio Poletto,FACT,EVACUATED,2220.0,2316.0,"In far southwestern Iowa, residents were being evacuated Sunday as floodwaters overtopped levees"
EN2496868,"(2019, 3, 17, 'SUN')",Fabio Poletto,FACT,EVACUATED,2433.0,2574.0,Green Bay Metro Fire Department lifted its emergency evacuation order at 10 a.m. Sunday for an eight- to 10-block area around the East River.
EN2496868,"(2019, 3, 17, 'SUN')",Fabio Poletto,FACT,DESTROYED_HOUSING,3237.0,3329.0,The flooding Missouri River has damaged dozens of buildings at an Air Force base in Nebraska
EN2496868,"(2019, 3, 17, 'SUN')",Fabio Poletto,FACT,FORCED_TO_FLEE,3902.0,4045.0,Residents in parts of southwestern Iowa are being urged to leave their homes as a torrent of Missouri River water flows over and through levees
EN2496868,"(2019, 3, 17, 'SUN')",Fabio Poletto,FACT,EVACUATED,3902.0,4045.0,Residents in parts of southwestern Iowa are being urged to leave their homes as a torrent of Missouri River water flows over and through levees
EN2496868,"(2019, 3, 17, 'SUN')",Fabio Poletto,FACT,EVACUATED,4612.0,4717.0, People in parts of Bartlett and Thurman were being evacuated as water broke through or overtopped levees
EN2496868,"(2019, 3, 17, 'SUN')",Fabio Poletto,FACT,EVACUATED,4995.0,5107.0,Hundreds of people were evacuated from their homes in Nebraska and Iowa as levees succumbed to the rush of water
EN2496868,"(2019, 3, 17, 'SUN')",Fabio Poletto,CAUSE,DISASTER,81.0,89.0,Flooding
EN2496868,"(2019, 3, 17, 'SUN')",Fabio Poletto,CAUSE,DISASTER,3982.0,4045.0,a torrent of Missouri River water flows over and through levees
EN2496868,"(2019, 3, 17, 'SUN')",Fabio Poletto,CAUSE,DISASTER,4677.0,4717.0,water broke through or overtopped levees
EN2496868,"(2019, 3, 17, 'SUN')",Fabio Poletto,CAUSE,DISASTER,5070.0,5086.0,levees succumbed
EN2496868,"(2019, 3, 17, 'SUN')",Fabio Poletto,CAUSE,DISASTER,1959.0,1967.0,flooding
EN2496868,"(2019, 3, 17, 'SUN')",Fabio Poletto,CAUSE,DISASTER,2287.0,2316.0,floodwaters overtopped levees
EN2496868,"(2019, 3, 17, 'SUN')",Fabio Poletto,CAUSE,DISASTER,3241.0,3249.0,flooding
EN2496868,"(2019, 3, 17, 'SUN')",Fabio Poletto,QUANTITY,BUILDING_STRUCTURE,120.0,136.0,up to 500 houses
EN2496868,"(2019, 3, 17, 'SUN')",Fabio Poletto,QUANTITY,BUILDING_STRUCTURE,1163.0,1171.0,Hundreds
EN2496868,"(2019, 3, 17, 'SUN')",Fabio Poletto,QUANTITY,PERSON,1212.0,1222.0,660 people
EN2496868,"(2019, 3, 17, 'SUN')",Fabio Poletto,QUANTITY,PERSON,1891.0,1900.0,residents
EN2496868,"(2019, 3, 17, 'SUN')",Fabio Poletto,QUANTITY,PERSON,2246.0,2255.0,residents
EN2496868,"(2019, 3, 17, 'SUN')",Fabio Poletto,QUANTITY,BUILDING_STRUCTURE,2525.0,2551.0,an eight- to 10-block area
EN2496868,"(2019, 3, 17, 'SUN')",Fabio Poletto,QUANTITY,BUILDING_STRUCTURE,3460.0,3472.0,60 buildings
EN2496868,"(2019, 3, 17, 'SUN')",Fabio Poletto,QUANTITY,PERSON,4995.0,5013.0,Hundreds of people
EN2496868,"(2019, 3, 17, 'SUN')",Fabio Poletto,LOCATION_ORIGIN,STATE_DISTRICT_REGION_O_0,93.0,101.0,Nebraska
EN2496868,"(2019, 3, 17, 'SUN')",Fabio Poletto,LOCATION_ORIGIN,COUNTY_CITY_VILLAGE_TOWN_HAMLET_O_0,177.0,189.0,Sarpy County
EN2496868,"(2019, 3, 17, 'SUN')",Fabio Poletto,LOCATION_ORIGIN,COUNTY_CITY_VILLAGE_TOWN_HAMLET_O_0,1904.0,1913.0,Green Bay
EN2496868,"(2019, 3, 17, 'SUN')",Fabio Poletto,LOCATION_ORIGIN,STATE_DISTRICT_REGION_O_0,1915.0,1924.0,Wisconsin
EN2496868,"(2019, 3, 17, 'SUN')",Fabio Poletto,LOCATION_ORIGIN,STATE_DISTRICT_REGION_O_0,2223.0,2244.0,far southwestern Iowa
EN2496868,"(2019, 3, 17, 'SUN')",Fabio Poletto,LOCATION_ORIGIN,COUNTY_CITY_VILLAGE_TOWN_HAMLET_O_0,2433.0,2442.0,Green Bay
EN2496868,"(2019, 3, 17, 'SUN')",Fabio Poletto,LOCATION_ORIGIN,POINT_LOCATION_O_0,3390.0,3411.0,Offutt Air Force Base
EN2496868,"(2019, 3, 17, 'SUN')",Fabio Poletto,LOCATION_ORIGIN,STATE_DISTRICT_REGION_O_0,3321.0,3329.0,Nebraska
EN2496868,"(2019, 3, 17, 'SUN')",Fabio Poletto,LOCATION_ORIGIN,STATE_DISTRICT_REGION_O_0,3924.0,3941.0,southwestern Iowa
EN2496868,"(2019, 3, 17, 'SUN')",Fabio Poletto,LOCATION_ORIGIN,COUNTY_CITY_VILLAGE_TOWN_HAMLET_O_0,4632.0,4640.0,Bartlett
EN2496868,"(2019, 3, 17, 'SUN')",Fabio Poletto,LOCATION_ORIGIN,COUNTY_CITY_VILLAGE_TOWN_HAMLET_O_0,4645.0,4652.0,Thurman
EN2496868,"(2019, 3, 17, 'SUN')",Fabio Poletto,LOCATION_ORIGIN,STATE_DISTRICT_REGION_O_0,5049.0,5057.0,Nebraska
EN2496868,"(2019, 3, 17, 'SUN')",Fabio Poletto,DATE,DATE_STOCK_0,240.0,248.0,Thursday
EN2496868,"(2019, 3, 17, 'SUN')",Fabio Poletto,DATE,DATE_STOCK_0,291.0,299.0,Saturday
EN2496868,"(2019, 3, 17, 'SUN')",Fabio Poletto,DATE,START_DATE_FLOW_0,2514.0,2520.0,Sunday
EN2496868,"(2019, 3, 17, 'SUN')",Elisabeth Duparc,TYPE,NEWS,,,
EN2496868,"(2019, 3, 17, 'SUN')",Elisabeth Duparc,FACT,EVACUATED,2246.0,2276.0,residents were being evacuated
EN2496868,"(2019, 3, 17, 'SUN')",Elisabeth Duparc,FACT,EVACUATED,4995.0,5045.0,Hundreds of people were evacuated from their homes
EN2496868,"(2019, 3, 17, 'SUN')",Elisabeth Duparc,FACT,DESTROYED_HOUSING,405.0,439.0,many that are completely submerged
EN2496868,"(2019, 3, 17, 'SUN')",Elisabeth Duparc,FACT,RETURN,1891.0,1978.0,"residents of Green Bay, Wisconsin, who evacuated their homes due to flooding can return"
EN2496868,"(2019, 3, 17, 'SUN')",Elisabeth Duparc,FACT,EVACUATED,1891.0,1978.0,"residents of Green Bay, Wisconsin, who evacuated their homes due to flooding can return"
EN2496868,"(2019, 3, 17, 'SUN')",Elisabeth Duparc,FACT,EVACUATED,4613.0,4696.0,People in parts of Bartlett and Thurman were being evacuated as water broke through
EN2496868,"(2019, 3, 17, 'SUN')",Elisabeth Duparc,CAUSE,DISASTER,1959.0,1967.0,flooding
EN2496868,"(2019, 3, 17, 'SUN')",Elisabeth Duparc,CAUSE,DISASTER,5067.0,5107.0,as levees succumbed to the rush of water
EN2496868,"(2019, 3, 17, 'SUN')",Elisabeth Duparc,CAUSE,DISASTER,1105.0,1125.0,late-winter flooding
EN2496868,"(2019, 3, 17, 'SUN')",Elisabeth Duparc,QUANTITY,PERSON,4995.0,5013.0,Hundreds of people
EN2496868,"(2019, 3, 17, 'SUN')",Elisabeth Duparc,QUANTITY,PERSON,1212.0,1222.0,660 people
EN2496868,"(2019, 3, 17, 'SUN')",Elisabeth Duparc,QUANTITY,PERSON,4613.0,4620.0,People 
EN2496868,"(2019, 3, 17, 'SUN')",Elisabeth Duparc,QUANTITY,HOUSEHOLD,329.0,335.0,houses
EN2496868,"(2019, 3, 17, 'SUN')",Elisabeth Duparc,LOCATION_ORIGIN,POINT_LOCATION_O_0,1903.0,1924.0," Green Bay, Wisconsin"
EN2496868,"(2019, 3, 17, 'SUN')",Elisabeth Duparc,LOCATION_ORIGIN,STATE_DISTRICT_REGION_O_0,2240.0,2244.0,Iowa
EN2496868,"(2019, 3, 17, 'SUN')",Elisabeth Duparc,LOCATION_ORIGIN,POINT_LOCATION_O_0,2223.0,2244.0,far southwestern Iowa
EN2496868,"(2019, 3, 17, 'SUN')",Elisabeth Duparc,LOCATION_ORIGIN,OTHER_LOCATION_O_0,4486.0,4501.0,Missouri River 
EN2496868,"(2019, 3, 17, 'SUN')",Elisabeth Duparc,LOCATION_ORIGIN,STATE_DISTRICT_REGION_O_0,4567.0,4571.0,Iowa
EN2496868,"(2019, 3, 17, 'SUN')",Elisabeth Duparc,LOCATION_ORIGIN,COUNTY_CITY_VILLAGE_TOWN_HAMLET_O_0,367.0,381.0, Hanson’s Lake
EN2496868,"(2019, 3, 17, 'SUN')",Elisabeth Duparc,LOCATION_ORIGIN,COUNTY_CITY_VILLAGE_TOWN_HAMLET_O_0,4551.0,4565.0,Fremont County
EN2496868,"(2019, 3, 17, 'SUN')",Elisabeth Duparc,LOCATION_ORIGIN,STATE_DISTRICT_REGION_O_0,5062.0,5067.0,Iowa 
EN2496868,"(2019, 3, 17, 'SUN')",Elisabeth Duparc,LOCATION_ORIGIN,STATE_DISTRICT_REGION_O_0,1063.0,1071.0,Nebraska
EN2496868,"(2019, 3, 17, 'SUN')",Elisabeth Duparc,LOCATION_ORIGIN,STATE_DISTRICT_REGION_O_0,1154.0,1161.0,Midwest
EN2496868,"(2019, 3, 17, 'SUN')",Elisabeth Duparc,LOCATION_ORIGIN,COUNTY_CITY_VILLAGE_TOWN_HAMLET_O_0,4632.0,4640.0,Bartlett
EN2496868,"(2019, 3, 17, 'SUN')",Elisabeth Duparc,LOCATION_ORIGIN,COUNTY_CITY_VILLAGE_TOWN_HAMLET_O_0,4645.0,4652.0,Thurman
EN2496868,"(2019, 3, 17, 'SUN')",Elisabeth Duparc,LOCATION_ORIGIN,STATE_DISTRICT_REGION_O_0,5049.0,5057.0,Nebraska
EN2496868,"(2019, 3, 17, 'SUN')",Elisabeth Duparc,DATE,START_DATE_FLOW_0,2277.0,2284.0,Sunday 
EN2496868,"(2019, 3, 17, 'SUN')",Elisabeth Duparc,DATE,START_DATE_FLOW_0,4541.0,4548.0,Sunday 
EN2406620,"(2019, 1, 9, 'WED')",Fabio Poletto,TYPE,SUMMARY,,,
EN2406620,"(2019, 1, 9, 'WED')",Fabio Poletto,FACT,DISPLACED,1216.0,1442.0,"At least 5.5 million people are in need of assistance and two million internally displaced – mostly in Darfur, and in the southern Blue Nile and South Kordofan states, where rebellions continue and a ceasefire has just expired"
EN2406620,"(2019, 1, 9, 'WED')",Fabio Poletto,CAUSE,CONFLICT,1169.0,1213.0,protracted conflicts and humanitarian crises
EN2406620,"(2019, 1, 9, 'WED')",Fabio Poletto,CAUSE,CONFLICT,1390.0,1400.0,rebellions
EN2406620,"(2019, 1, 9, 'WED')",Fabio Poletto,QUANTITY,PERSON,1274.0,1285.0,two million
EN2406620,"(2019, 1, 9, 'WED')",Fabio Poletto,LOCATION_ORIGIN,STATE_DISTRICT_REGION_O_0,1319.0,1325.0,Darfur
EN2406620,"(2019, 1, 9, 'WED')",Fabio Poletto,LOCATION_ORIGIN,STATE_DISTRICT_REGION_O_0,1338.0,1356.0,southern Blue Nile
EN2406620,"(2019, 1, 9, 'WED')",Fabio Poletto,LOCATION_ORIGIN,STATE_DISTRICT_REGION_O_0,1361.0,1375.0,South Kordofan
EN2567881,"(2019, 5, 3, 'FRI')",Fabio Poletto,TYPE,BOTH,,,
EN2567881,"(2019, 5, 3, 'FRI')",Fabio Poletto,FACT,EVACUATED,124.0,311.0,"Indian authorities have evacuated more than 1.2 million people from the coastal, low-lying areas and plan to move thousands more before the cyclone makes landfall, likely Friday afternoon"
EN2567881,"(2019, 5, 3, 'FRI')",Fabio Poletto,FACT,EVACUATED,1963.0,2021.0, more than 1.3 million people were moved out of harm’s way
EN2567881,"(2019, 5, 3, 'FRI')",Fabio Poletto,CAUSE,DISASTER,1884.0,1899.0,Cyclone Phailin
EN2567881,"(2019, 5, 3, 'FRI')",Fabio Poletto,CAUSE,DISASTER,48.0,60.0,Cyclone Fani
EN2567881,"(2019, 5, 3, 'FRI')",Fabio Poletto,QUANTITY,PERSON,158.0,179.0,more than 1.2 million
EN2567881,"(2019, 5, 3, 'FRI')",Fabio Poletto,QUANTITY,PERSON,238.0,247.0,thousands
EN2567881,"(2019, 5, 3, 'FRI')",Fabio Poletto,QUANTITY,PERSON,1964.0,1985.0,more than 1.3 million
EN2567881,"(2019, 5, 3, 'FRI')",Fabio Poletto,LOCATION_ORIGIN,STATE_DISTRICT_REGION_O_0,115.0,121.0,Odisha
EN2567881,"(2019, 5, 3, 'FRI')",Fabio Poletto,LOCATION_ORIGIN,STATE_DISTRICT_REGION_O_0,1787.0,1793.0,Odisha
EN2447695,"(2019, 2, 12, 'TUE')",Fabio Poletto,TYPE,NEWS,,,
EN2447695,"(2019, 2, 12, 'TUE')",Fabio Poletto,FACT,EVACUATED,1502.0,1584.0,"fire took hold at the facility, prompting the evacuation of 20 occupants and staff"
EN2447695,"(2019, 2, 12, 'TUE')",Fabio Poletto,CAUSE,DISASTER,1502.0,1506.0,fire
EN2447695,"(2019, 2, 12, 'TUE')",Fabio Poletto,QUANTITY,PERSON,1562.0,1564.0,20
EN2447695,"(2019, 2, 12, 'TUE')",Fabio Poletto,LOCATION_ORIGIN,POINT_LOCATION_O_0,192.0,219.0,George Bryan Medical Centre
EN2447695,"(2019, 2, 12, 'TUE')",Fabio Poletto,LOCATION_ORIGIN,COUNTY_CITY_VILLAGE_TOWN_HAMLET_O_0,268.0,276.0,Tamworth
EN2729367,"(2019, 8, 9, 'FRI')",Clementine Andre,TYPE,NEWS,,,
EN2729367,"(2019, 8, 9, 'FRI')",Clementine Andre,FACT,EVACUATED,752.0,857.0,"Around 150 families had been evacuated to safer places in Pernem, Bicholim, Canacona and Bardez tehsils f"
EN2729367,"(2019, 8, 9, 'FRI')",Clementine Andre,CAUSE,DISASTER,855.0,878.0, following heavy rains 
EN2729367,"(2019, 8, 9, 'FRI')",Clementine Andre,QUANTITY,HOUSEHOLD,759.0,771.0,150 families
EN2729367,"(2019, 8, 9, 'FRI')",Clementine Andre,LOCATION_ORIGIN,STATE_DISTRICT_REGION_O_0,32.0,42.0,North Goa 
EN2729367,"(2019, 8, 9, 'FRI')",Clementine Andre,LOCATION_ORIGIN,COUNTY_CITY_VILLAGE_TOWN_HAMLET_O_0,809.0,856.0," Pernem, Bicholim, Canacona and Bardez tehsils "
EN2495871,"(2019, 3, 17, 'SUN')",Clementine Andre,TYPE,NEWS,,,
EN2495871,"(2019, 3, 17, 'SUN')",Clementine Andre,FACT,DISPLACED,610.0,654.0,residents in five units have been displaced.
EN2625824,"(2019, 6, 9, 'SUN')",Elisabeth Duparc,TYPE,SUMMARY,,,
EN2625824,"(2019, 6, 9, 'SUN')",Elisabeth Duparc,FACT,REFUGEE,172.0,204.0,Thousands of people crossed over
EN2625824,"(2019, 6, 9, 'SUN')",Elisabeth Duparc,CAUSE,OTHER_CAUSE,296.0,325.0,"power outages, hyperinflation"
EN2625824,"(2019, 6, 9, 'SUN')",Elisabeth Duparc,CAUSE,CONFLICT,329.0,348.0, increased violence
EN2625824,"(2019, 6, 9, 'SUN')",Elisabeth Duparc,QUANTITY,PERSON,172.0,192.0,Thousands of people 
EN2625824,"(2019, 6, 9, 'SUN')",Elisabeth Duparc,LOCATION_ORIGIN,COUNTRY_O_0,10.0,19.0,Venezuela
EN2625824,"(2019, 6, 9, 'SUN')",Elisabeth Duparc,DATE,START_DATE_FLOW_0,83.0,91.0,Saturday
EN2625824,"(2019, 6, 9, 'SUN')",Elisabeth Duparc,DATE,START_DATE_FLOW_0,950.0,962.0,"June 7, 2019"
EN2427902,"(2019, 1, 24, 'THU')",Elisabeth Duparc,TYPE,BOTH,,,
EN2427902,"(2019, 1, 24, 'THU')",Elisabeth Duparc,FACT,DISPLACED,598.0,700.0,fighting between government troops and autonomy-seeking ethnic Rakhine rebels has displaced thousands.
EN2427902,"(2019, 1, 24, 'THU')",Elisabeth Duparc,FACT,FORCED_TO_FLEE,1918.0,2073.0,"Fighting has forced about 5,000 people to flee from their homes and to take shelter in monasteries and communal areas across the region since early January"
EN2427902,"(2019, 1, 24, 'THU')",Elisabeth Duparc,FACT,SHELTERED,1918.0,2073.0,"Fighting has forced about 5,000 people to flee from their homes and to take shelter in monasteries and communal areas across the region since early January"
EN2427902,"(2019, 1, 24, 'THU')",Elisabeth Duparc,FACT,REFUGEE,4138.0,4217.0,"prompted about 730,000 Rohingya to flee westwards into neighbouring Bangladesh."
EN2427902,"(2019, 1, 24, 'THU')",Elisabeth Duparc,CAUSE,CONFLICT,1918.0,1926.0,Fighting
EN2427902,"(2019, 1, 24, 'THU')",Elisabeth Duparc,CAUSE,CONFLICT,598.0,675.0,fighting between government troops and autonomy-seeking ethnic Rakhine rebels
EN2427902,"(2019, 1, 24, 'THU')",Elisabeth Duparc,QUANTITY,PERSON,690.0,699.0,thousands
EN2427902,"(2019, 1, 24, 'THU')",Elisabeth Duparc,QUANTITY,PERSON,1944.0,1956.0,"5,000 people"
EN2427902,"(2019, 1, 24, 'THU')",Elisabeth Duparc,QUANTITY,PERSON,4153.0,4160.0,"730,000"
EN2427902,"(2019, 1, 24, 'THU')",Elisabeth Duparc,LOCATION_ORIGIN,COUNTRY_O_0,50.0,57.0,Myanmar
EN2427902,"(2019, 1, 24, 'THU')",Elisabeth Duparc,LOCATION_ORIGIN,STATE_DISTRICT_REGION_O_0,68.0,81.0,Rakhine State
EN2427902,"(2019, 1, 24, 'THU')",Elisabeth Duparc,LOCATION_ORIGIN,POINT_LOCATION_O_0,60.0,67.0,western
EN2427902,"(2019, 1, 24, 'THU')",Elisabeth Duparc,LOCATION_ORIGIN,COUNTRY_O_0,4206.0,4216.0,Bangladesh
EN2427902,"(2019, 1, 24, 'THU')",Elisabeth Duparc,DATE,START_DATE_FLOW_0,2054.0,2073.0,since early January
EN2427902,"(2019, 1, 24, 'THU')",Elisabeth Duparc,DATE,START_DATE_FLOW_0,4050.0,4054.0,2017
EN2581703,"(2019, 5, 10, 'FRI')",Elisabeth Duparc,TYPE,NEWS,,,
EN2581703,"(2019, 5, 10, 'FRI')",Elisabeth Duparc,FACT,DISPLACED,2074.0,2110.0,about 150 people have been displaced
EN2581703,"(2019, 5, 10, 'FRI')",Elisabeth Duparc,FACT,DESTROYED_HOUSING,702.0,715.0,swamped homes
EN2581703,"(2019, 5, 10, 'FRI')",Elisabeth Duparc,CAUSE,DISASTER,668.0,678.0,rainstorms
EN2581703,"(2019, 5, 10, 'FRI')",Elisabeth Duparc,CAUSE,DISASTER,1998.0,2003.0,storm
EN2581703,"(2019, 5, 10, 'FRI')",Elisabeth Duparc,QUANTITY,PERSON,2080.0,2083.0,150
EN2581703,"(2019, 5, 10, 'FRI')",Elisabeth Duparc,LOCATION_ORIGIN,STATE_DISTRICT_REGION_O_0,1843.0,1851.0,Arkansas
EN2581703,"(2019, 5, 10, 'FRI')",Elisabeth Duparc,LOCATION_ORIGIN,COUNTY_CITY_VILLAGE_TOWN_HAMLET_O_0,1924.0,1934.0,Pine Bluff
EN2581703,"(2019, 5, 10, 'FRI')",Elisabeth Duparc,LOCATION_ORIGIN,STATE_DISTRICT_REGION_O_0,729.0,736.0,Houston
EN2468666,"(2019, 2, 28, 'THU')",Fabio Poletto,TYPE,SUMMARY,,,
EN2468666,"(2019, 2, 28, 'THU')",Fabio Poletto,FACT,DISPLACED,1653.0,1856.0,"more than 2,500 foreign children belonging to 30 countries are currently living in three displaced camps in northeastern Syria, as well as tens of thousands of other displaced people fleeing the fighting"
EN2468666,"(2019, 2, 28, 'THU')",Fabio Poletto,FACT,REFUGEE,1653.0,1856.0,"more than 2,500 foreign children belonging to 30 countries are currently living in three displaced camps in northeastern Syria, as well as tens of thousands of other displaced people fleeing the fighting"
EN2468666,"(2019, 2, 28, 'THU')",Fabio Poletto,FACT,EVACUATED,329.0,437.0,following their evacuation from the final pocket of land still under the control of the Islamic State (ISIS)
EN2468666,"(2019, 2, 28, 'THU')",Fabio Poletto,FACT,SHELTERED,1130.0,1292.0,"The al-Hol camp is sheltering thousands of displaced people, including children, who fled the ongoing fighting between the Syrian Democratic Forces (SDF) and ISIS"
EN2468666,"(2019, 2, 28, 'THU')",Fabio Poletto,FACT,RELIEF_CAMP,1130.0,1292.0,"The al-Hol camp is sheltering thousands of displaced people, including children, who fled the ongoing fighting between the Syrian Democratic Forces (SDF) and ISIS"
EN2468666,"(2019, 2, 28, 'THU')",Fabio Poletto,FACT,DISPLACED,1130.0,1292.0,"The al-Hol camp is sheltering thousands of displaced people, including children, who fled the ongoing fighting between the Syrian Democratic Forces (SDF) and ISIS"
EN2468666,"(2019, 2, 28, 'THU')",Fabio Poletto,CAUSE,CONFLICT,1844.0,1856.0,the fighting
EN2468666,"(2019, 2, 28, 'THU')",Fabio Poletto,CAUSE,CONFLICT,402.0,437.0,control of the Islamic State (ISIS)
EN2468666,"(2019, 2, 28, 'THU')",Fabio Poletto,CAUSE,CONFLICT,1224.0,1240.0,ongoing fighting
